tau U offset_const cost_const
9.653658e-05 5.162625e-10 2.159377e-07 6.498926e-03
9.837176e-05 5.075767e-10 2.159377e-07 6.498926e-03
1.002418e-04 4.991574e-10 2.159377e-07 6.498926e-03
1.021474e-04 4.909967e-10 2.159377e-07 6.498926e-03
1.040893e-04 4.830871e-10 2.159377e-07 6.498926e-03
1.060680e-04 4.754214e-10 2.159377e-07 6.498926e-03
1.080844e-04 4.679926e-10 2.159377e-07 6.498926e-03
1.101391e-04 4.607939e-10 2.159377e-07 6.498926e-03
1.122329e-04 4.538189e-10 2.159377e-07 6.498926e-03
1.143665e-04 4.470614e-10 2.159377e-07 6.498926e-03
1.165406e-04 4.405155e-10 2.159377e-07 6.498926e-03
1.187560e-04 4.341752e-10 2.159377e-07 6.498926e-03
1.210136e-04 4.280352e-10 2.159377e-07 6.498926e-03
1.233141e-04 4.220900e-10 2.159377e-07 6.498926e-03
1.256583e-04 4.163347e-10 2.159377e-07 6.498926e-03
1.280471e-04 4.107641e-10 2.159377e-07 6.498926e-03
1.304813e-04 4.053737e-10 2.159377e-07 6.498926e-03
1.329618e-04 4.001589e-10 2.159377e-07 6.498926e-03
1.354894e-04 3.951152e-10 2.159377e-07 6.498926e-03
1.380651e-04 3.902385e-10 2.159377e-07 6.498926e-03
1.406897e-04 3.855248e-10 2.159377e-07 6.498926e-03
1.433643e-04 3.809701e-10 2.159377e-07 6.498926e-03
1.460897e-04 3.765708e-10 2.159377e-07 6.498926e-03
1.488669e-04 3.723233e-10 2.159377e-07 6.498926e-03
1.516968e-04 3.682242e-10 2.159377e-07 6.498926e-03
1.545806e-04 3.642701e-10 2.159377e-07 6.498926e-03
1.575192e-04 3.604580e-10 2.159377e-07 6.498926e-03
1.605137e-04 3.567849e-10 2.159377e-07 6.498926e-03
1.635651e-04 3.532942e-10 2.159377e-07 6.498926e-03
1.666745e-04 3.500132e-10 2.159377e-07 6.498926e-03
1.698430e-04 3.468618e-10 2.159377e-07 6.498926e-03
1.730718e-04 3.438377e-10 2.159377e-07 6.498926e-03
1.763619e-04 3.409387e-10 2.159377e-07 6.498926e-03
1.797146e-04 3.381624e-10 2.159377e-07 6.498926e-03
1.831310e-04 3.355069e-10 2.159377e-07 6.498926e-03
1.866123e-04 3.329701e-10 2.159377e-07 6.498926e-03
1.901599e-04 3.305503e-10 2.159377e-07 6.498926e-03
1.937748e-04 3.282457e-10 2.159377e-07 6.498926e-03
1.974585e-04 3.260545e-10 2.159377e-07 6.498926e-03
2.012123e-04 3.239754e-10 2.159377e-07 6.498926e-03
2.050373e-04 3.220069e-10 2.159377e-07 6.498926e-03
2.089351e-04 3.201475e-10 2.159377e-07 6.498926e-03
2.129070e-04 3.183961e-10 2.159377e-07 6.498926e-03
2.169544e-04 3.167514e-10 2.159377e-07 6.498926e-03
2.210788e-04 3.152126e-10 2.159377e-07 6.498926e-03
2.252815e-04 3.137785e-10 2.159377e-07 6.498926e-03
2.295642e-04 3.124482e-10 2.159377e-07 6.498926e-03
2.339282e-04 3.112212e-10 2.159377e-07 6.498926e-03
2.383753e-04 3.100965e-10 2.159377e-07 6.498926e-03
2.429068e-04 3.090737e-10 2.159377e-07 6.498926e-03
2.475245e-04 3.081522e-10 2.159377e-07 6.498926e-03
2.522300e-04 3.073316e-10 2.159377e-07 6.498926e-03
2.570249e-04 3.066116e-10 2.159377e-07 6.498926e-03
2.619110e-04 3.059919e-10 2.159377e-07 6.498926e-03
2.668900e-04 3.054724e-10 2.159377e-07 6.498926e-03
2.719636e-04 3.050531e-10 2.159377e-07 6.498926e-03
2.771337e-04 3.047340e-10 2.159377e-07 6.498926e-03
2.824021e-04 3.045152e-10 2.159377e-07 6.498926e-03
2.877706e-04 3.043970e-10 2.159377e-07 6.498926e-03
2.932412e-04 3.043796e-10 2.159377e-07 6.498926e-03
2.988158e-04 3.044636e-10 2.159377e-07 6.498926e-03
3.044963e-04 3.046493e-10 2.159377e-07 6.498926e-03
3.102848e-04 3.049374e-10 2.159377e-07 6.498926e-03
3.161834e-04 3.053287e-10 2.159377e-07 6.498926e-03
3.221941e-04 3.058238e-10 2.159377e-07 6.498926e-03
3.283191e-04 3.064239e-10 2.159377e-07 6.498926e-03
3.345605e-04 3.071298e-10 2.159377e-07 6.498926e-03
3.409205e-04 3.079427e-10 2.159377e-07 6.498926e-03
3.474015e-04 3.088639e-10 2.159377e-07 6.498926e-03
3.540057e-04 3.098946e-10 2.159377e-07 6.498926e-03
3.607354e-04 3.110365e-10 2.159377e-07 6.498926e-03
3.675930e-04 3.122909e-10 2.159377e-07 6.498926e-03
3.745811e-04 3.136598e-10 2.159377e-07 6.498926e-03
3.817019e-04 3.151448e-10 2.159377e-07 6.498926e-03
3.889581e-04 3.167481e-10 2.159377e-07 6.498926e-03
3.963523e-04 3.184716e-10 2.159377e-07 6.498926e-03
4.038870e-04 3.203176e-10 2.159377e-07 6.498926e-03
4.115650e-04 3.222886e-10 2.159377e-07 6.498926e-03
4.193889e-04 3.243870e-10 2.159377e-07 6.498926e-03
4.273616e-04 3.266154e-10 2.159377e-07 6.498926e-03
4.354858e-04 3.289769e-10 2.159377e-07 6.498926e-03
4.437645e-04 3.314743e-10 2.159377e-07 6.498926e-03
4.522005e-04 3.341109e-10 2.159377e-07 6.498926e-03
